Supermercado,Semana,Fecha,marca,descripcion,promo,precio,imagen
Tottus,40,07-10-2023,FINISH,Abrillantador,$ 5.150,,https://s7d2.scene7.com/is/image/Tottus/20363120_1?wid=170&hei=170&qlt=70
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,MAGISTRAL,Lavalozas Botella Limón Ultraconcentrado,$ 6.490,,https://s7d2.scene7.com/is/image/Tottus/20425040_1?wid=170&hei=170&qlt=70
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,VIRGINIA,Lavalozas Botella Citrus,$ 3.300,,https://s7d2.scene7.com/is/image/Tottus/20396161_1?wid=240&hei=240&qlt=70
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,VIRGINIA,Lavalozas Recarga Citrus,$ 2.290,,https://s7d2.scene7.com/is/image/Tottus/20108665_1?wid=240&hei=240&qlt=70
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,QUIX,Lavaloza Concentrado Botella Limón,$ 2.090,,
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,TOTTUS,Lavalozas Botella Limón,$ 1.270,,
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,TOTTUS,Lavalozas Recarga Limón,$ 2.410,,
Tottus,40,07-10-2023,,,,,
Tottus,40,07-10-2023,QUIX,Lavaloza Concentrado Botella Aloe Limón Piel Sensible,"$ 3.290
-23%
$ 4.290",$ 4.290,
Tottus,40,07-10-2023,,,,,
