MARCA,PROMO,PRECIO,PROMO_EXCLUSIVA,PROMOCION,CANTIDAD (ML),FRAGANCIA,PORCENTAJE_DESCUENTO_EXCLUSIVA,PORCENTAJE_DESCUENTO
Quix,3079.0,4399.0,30% dcto.,CON PROMO,1500,Bio-Activos Concentrado Recarga,30%,30.0%
Quix,3099.0,4259.0,3 por 2 a $8.518,CON PROMO,1200,Bio-Activos Aloe Vera Recarga,33.3%,27.2%
Magistral,2990.0,4349.0,,CON PROMO,500,Concentrado Ultra Limón,0%,31.2%
Quix,2049.0,2049.0,,SIN PROMO,500,Bio-Activos Concentrado Limón,0%,0.0%
Quix,8579.0,11439.0,25% dcto.,CON PROMO,5000,Bio-Activos Concentrado Limón,25%,25.0%
Dawn,6649.0,6649.0,,SIN PROMO,750,Concentrado Limón,0%,0.0%
Quix,3099.0,4259.0,3 por 2 a $8.518,CON PROMO,1200,Bio-Activos Pureza Esencial Recarga,33.3%,27.2%
Fuzol,1729.0,1729.0,,SIN PROMO,1000,Limón Doypack,0%,0.0%
Magistral,4297.0,6139.0,30% dcto.,CON PROMO,750,Concentrado Limón,30%,30.0%
Quix,3099.0,4259.0,3 por 2 a $8.518,CON PROMO,1200,Concentrado Antibacterial,33.3%,27.2%
Magistral,2043.0,2919.0,30% dcto.,CON PROMO,300,Concentrado Ultra Limón,30%,30.0%
Magistral,9199.0,9199.0,,SIN PROMO,1500,Magistral Limón,0%,0.0%
The Pink Stuff,5999.0,5999.0,,SIN PROMO,500,Pink Stuff Wash Up,0%,0.0%
Virginia,2199.0,2199.0,,SIN PROMO,1000,Limón Citrus Doypack,0%,0.0%
Dawn,5929.0,5929.0,,SIN PROMO,500,Concentrado Limón,0%,0.0%
Virutex,1699.0,1699.0,,SIN PROMO,500,Biodegradable,0%,0.0%
Quix,2399.0,2399.0,,SIN PROMO,500,Bio-Activos Concentrado Aloe Vera,0%,0.0%
Virginia,3199.0,3199.0,,SIN PROMO,1500,Citrus Botella Recarga,0%,0.0%
Magistral,4349.0,4349.0,,SIN PROMO,500,Concentrado Ultra Aloe,0%,0.0%
Dawn,5699.0,5699.0,,SIN PROMO,638,Ultra Concentrado,0%,0.0%
Mrs. Meyer´s,2699.0,2699.0,,SIN PROMO,473,Meyer's Lemon Verbena,0%,0.0%
Freemet,2389.0,2389.0,,SIN PROMO,500,Ecológico,0%,0.0%
Magistral,6139.0,6139.0,,SIN PROMO,750,Concentrado Ultra Aloe,0%,0.0%
Quix,2379.0,2379.0,,SIN PROMO,500,Quix Concentrado,0%,0.0%
WYN,1999.0,1999.0,,SIN PROMO,750,Wyn,0%,0.0%
Mrs. Meyer´s,2699.0,2699.0,,SIN PROMO,473,Meyer's Lemon Peonia,0%,0.0%
Quix,2399.0,2399.0,,SIN PROMO,500,Bio-Activos Concentrado Pureza,0%,0.0%
Frosch,2890.0,3820.0,,CON PROMO,750,,0%,24.3%
Mrs. Meyer´s,2699.0,2699.0,,SIN PROMO,473,Meyer's Honeysuckle,0%,0.0%
Dawn,2899.0,2899.0,,SIN PROMO,221,Ultra Concentrado,0%,0.0%
Virutex,1699.0,1699.0,,SIN PROMO,500,Higienizante,0%,0.0%
Dawn,4489.0,4489.0,,SIN PROMO,434,Concentrado Squeeze,0%,0.0%
Dawn,6199.0,6199.0,,SIN PROMO,709,Concentrado Free & Clear,0%,0.0%
Virutex,3199.0,3199.0,,SIN PROMO,1200,Higienizante,0%,0.0%
Pril,2999.0,2999.0,,SIN PROMO,500,Sensitive Aloe Vera,0%,0.0%
Frosch,2590.0,3899.0,,CON PROMO,500,Aloe Vera,0%,33.6%
Virginia,2349.0,2349.0,Lleva 2 por $2.179,SIN PROMO,750,Concentrado Limón,53.6%,0.0%
Frosch,4399.0,4399.0,,SIN PROMO,750,Limón,0%,0.0%
Magistral,4349.0,4349.0,,SIN PROMO,480,Concentrado Pureza Activa,0%,0.0%
Dawn,6619.0,6619.0,,SIN PROMO,473,Repuesto Powerwash,0%,0.0%
Senzai,1450.0,1850.0,Paga $1.299,CON PROMO,500,Senzai Limón,29.8%,21.6%
Dawn,8819.0,8819.0,,SIN PROMO,473,Spray Dawn Powerwash,0%,0.0%
Dawn,4999.0,4999.0,,SIN PROMO,458,Ultra Concentrado,0%,0.0%
Teza,2391.0,2989.0,20% dcto.,CON PROMO,500,Teza 100% Bio Coco,20%,20.0%
Home Care,1499.0,1499.0,,SIN PROMO,500,Care Limón Botella,0%,0.0%
Home Care,2299.0,2299.0,,SIN PROMO,750,Care Limón Botella,0%,0.0%
Kern,4190.0,4190.0,,SIN PROMO,,Ecológico Pastilla 4 un.,0%,0.0%
Teza,2391.0,2989.0,20% dcto.,CON PROMO,500,Teza 100% Bio Citrus,20%,20.0%
Magistral,2919.0,2919.0,,SIN PROMO,280,Concentrado Pureza Activa,0%,0.0%
Poliboy,3119.0,3899.0,20% dcto.,CON PROMO,500,,20%,20.0%
Frosch,3649.0,3649.0,,SIN PROMO,500,Soda,0%,0.0%
