Supermercado,Semana,Fecha,Marca,Descripcion,Promo,Precio,Precio2,Imagen,Disponibilidad,Link
Lider,40,07-10-2023,Cif,"Lavaloza Ulraconcentrado Limón, 500 ml",$2.000,$3.090,,https://images.lider.cl/wmtcl?source=url[file:/productos/922955a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/922955/cif-lavaloza-ulraconcentrado-limon-500-ml
Lider,40,07-10-2023,Quix,"Lavaloza Limón Con Bio Activos Concentrado 1.2 L, 1,2 L",2 x $4.990,,Normal: $3.390 c/u,https://images.lider.cl/wmtcl?source=url[file:/productos/1342365a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1342365/quix-lavaloza-limon-con-bio-activos-concentrado-12-l-12-l
Lider,40,07-10-2023,Quix,"Lavaloza Limón Con Bio Activos Concentrado 500 ml, 500 ml",$1.890,,,https://images.lider.cl/wmtcl?source=url[file:/productos/1342357a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/1342357/quix-lavaloza-limon-con-bio-activos-concentrado-500-ml-500-ml
Lider,40,07-10-2023,Magistral,"Lavalozas Limón Concentrado, 500 ml",$3.990,,,https://images.lider.cl/wmtcl?source=url[file:/productos/589854a.jpg]&scale=size[180x180]&sink,,https://www.lider.cl/supermercado/product/sku/589854/magistral-lavalozas-limon-concentrado-500-ml
Lider,40,07-10-2023,Sun,"Detergente Lavavajilla Todo En 1, 20 Un",$6.290,$7.460,,,,https://www.lider.cl/supermercado/product/sku/1216539/sun-detergente-lavavajilla-todo-en-1-20-un
Lider,40,07-10-2023,Omo,Quix Lavaloza Concentrado Limón 500 + Cif Crema Limpiador …,$15.990,$21.490,,,,https://www.lider.cl/supermercado/product/sku/1378620/omo-quix-lavaloza-concentrado-limon-500-cif-crema-limpiador-original-375-g-omo-detergente-polvo-matic-multiaccion-27kg-6-kg
Lider,40,07-10-2023,Virginia,"Lavalozas Limón Citrus, 1000 ml",$1.690,$2.050,,,,https://www.lider.cl/supermercado/product/sku/379439/virginia-lavalozas-limon-citrus-1000-ml
Lider,40,07-10-2023,Quix,"Lavaloza Concentrado Pureza Esencial Con Bio Activos 500 ml, 50…",$2.390,,,,,https://www.lider.cl/supermercado/product/sku/1342361/quix-lavaloza-concentrado-pureza-esencial-con-bio-activos-500-ml-500-ml
Lider,40,07-10-2023,Sun,"Detergente Lavavajilla Polvo, 1 kg",$4.790,$5.890,,,Agotado,https://www.lider.cl/supermercado/product/sku/425816/sun-detergente-lavavajilla-polvo-1-kg
Lider,40,07-10-2023,Quix,"Lavaloza Piel Sensible Con Bio Activos Concentrado 1.2 L, 1,2 L",3 x $8.250,,Normal: $3.890 c/u,,Agotado,https://www.lider.cl/supermercado/product/sku/1342367/quix-lavaloza-piel-sensible-con-bio-activos-concentrado-12-l-12-l
Lider,40,07-10-2023,Quix,"Lavaloza Limón Con Bio Activos Concentrado 750 ml, 750 ml",$1.990,$2.560,,,,https://www.lider.cl/supermercado/product/sku/1342363/quix-lavaloza-limon-con-bio-activos-concentrado-750-ml-750-ml
Lider,40,07-10-2023,Sun,"Abrillantador Lavavajillas Triple Acción, 500 ml",$4.650,,,,,https://www.lider.cl/supermercado/product/sku/281117/sun-abrillantador-lavavajillas-triple-accion-500-ml
Lider,40,07-10-2023,Sun,"Lavavajillas Regeneradora, 1 kg",$2.190,,,,,https://www.lider.cl/supermercado/product/sku/12224/sun-lavavajillas-regeneradora-1-kg
Lider,40,07-10-2023,Magistral,"Lavalozas Ultra Limón Concentrado, 1400 ml",$8.990,,,,,https://www.lider.cl/supermercado/product/sku/922863/magistral-lavalozas-ultra-limon-concentrado-1400-ml
Lider,40,07-10-2023,Acuenta,"Lavalozas Limón Bidón, 5 L",$3.160,,,,,https://www.lider.cl/supermercado/product/sku/761976/acuenta-lavalozas-limon-bidon-5-l
