Supermercado,Semana,Fecha,marca,descripcion,promo,precio,imagen,promo_exclusiva,link
Santa Isabel,40,07-10-2023,Quix,Lavalozas Quix Bio-Activos Concentrado Recarga 1.5 L,$3.099,$4.399,https://santaisabel.vtexassets.com/arquivos/ids/250196-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-quix-bio-act-conc-rec-1-5ml-1932624/p
Santa Isabel,40,07-10-2023,Quix,Lavalozas Quix Bio-Activos Concentrado Limón 500 ml,$2.039,,https://santaisabel.vtexassets.com/arquivos/ids/211504-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-quix-bio-act-conc-limon-500ml-1932623/p
Santa Isabel,40,07-10-2023,Magistral,Lavaloza Magistral Concentrado Ultra Limón 500 ml,$2.847,$4.249,https://santaisabel.vtexassets.com/arquivos/ids/193177-280-280?width=280&height=280&aspect=true,33% dcto.,https://www.santaisabel.cl/lavalozas-concentrado-magistral-limon-500-ml/p
Santa Isabel,40,07-10-2023,Quix,Lavaloza Quix Bio-Activos Aloe Vera Recarga 1.2 L,$3.179,$4.239,https://santaisabel.vtexassets.com/arquivos/ids/210608-280-280?width=280&height=280&aspect=true,25% dcto.,https://www.santaisabel.cl/lav-quix-bio-act-aloe-vera-rec-1-2ml-1932621/p
Santa Isabel,40,07-10-2023,Máxima,Lavalozas limón 2 L,$1.399,,https://santaisabel.vtexassets.com/arquivos/ids/175586-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-limon-2-l/p
Santa Isabel,40,07-10-2023,Rinso,Lavalozas Rinso Limón 1250 ml,$2.590,,https://santaisabel.vtexassets.com/arquivos/ids/295431-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/rinso-laval-1250ml/p
Santa Isabel,40,07-10-2023,Magistral,Lavaloza Magistral Concentrado Ultra Limón 300 ml,$1.729,$2.819,https://santaisabel.vtexassets.com/arquivos/ids/193158-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-concentrado-magistral-limon-300-ml/p
Santa Isabel,40,07-10-2023,Quix,Lavalozas Quix Bio-Activos Concentrado Limón 750 ml,$2.849,,https://santaisabel.vtexassets.com/arquivos/ids/210611-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-quix-bio-act-conc-limon-750ml-1932622/p
Santa Isabel,40,07-10-2023,Fuzol,Lavalozas Fuzol Vinagre Doypack 1 L,$1.719,,https://santaisabel.vtexassets.com/arquivos/ids/179813-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-fuzol-doypack-1-l-vinagre-2/p
Santa Isabel,40,07-10-2023,Virginia,Lavalozas Virginia Concentrado Limón 750 ml,$2.299,,https://santaisabel.vtexassets.com/arquivos/ids/185508-280-280?width=280&height=280&aspect=true,,https://www.santaisabel.cl/lavalozas-virginia-envase-750-ml-concentrado/p
