Supermercado,Semana,Fecha,Marca,Descripcion,Unidades,Promo,Precio,Precio2,Imagen,Link
Unimarc,40,07-10-2023,Virginia,Lavaloza virginia limón citrus 750 ml,2 x,$3.750,,$2.490,https://unimarc.vtexassets.com/arquivos/ids/218492/000000000000278354-UN-01.jpg?v=637636344655230000,https://www.unimarc.cl/product/lavalozas-limon-bot-virginia-750-ml
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activos limón recarga 1.5 l,,$3.003,$4.290,30%,https://unimarc.vtexassets.com/arquivos/ids/229072/000000000000661945-UN-01.jpg?v=637985976818800000,https://www.unimarc.cl/product/rec-lav-conc-bio-act-limon-quix-1-5-lt
Unimarc,40,07-10-2023,Magistral,Lavalozas magistral aroma limón 750 ml,,$3.714,$6.190,40%,https://unimarc.vtexassets.com/arquivos/ids/222830/000000000000631852-UN-01.jpg?v=637768946175470000,https://www.unimarc.cl/product/lavalozas-aroma-limon-magistral-750-ml
Unimarc,40,07-10-2023,Magistral,Lavaloza magistral limón 500 ml,,$2.544,$4.240,40%,https://unimarc.vtexassets.com/arquivos/ids/222790/000000000000785186-UN-01.jpg?v=637768150833500000,https://www.unimarc.cl/product/lavalozas-conc-limon-magistral-500-ml
Unimarc,40,07-10-2023,Sun,Tabletas para lavavajilla sun 3 en 1 20 un,,$5.334,$8.890,40%,https://unimarc.vtexassets.com/arquivos/ids/221391/000000000000652505-UN-01.jpg?v=637714570159170000,https://www.unimarc.cl/product/tabletas-p-lavavajilla-3en1-sun-20-un
Unimarc,40,07-10-2023,Magistral,Lavalozas magistral con aloe 500 ml,,$2.544,$4.240,40%,https://unimarc.vtexassets.com/arquivos/ids/222817/000000000000639088-UN-01.jpg?v=637768296795600000,https://www.unimarc.cl/product/lavalozas-c-aloe-magistral-500-ml
Unimarc,40,07-10-2023,Magistral,Lavaloza magistral limón 300 ml,,$1.860,$3.100,40%,https://unimarc.vtexassets.com/arquivos/ids/222791/000000000000785185-UN-01.jpg?v=637768151827770000,https://www.unimarc.cl/product/lavalozas-conc-limon-magistral-300-ml
Unimarc,40,07-10-2023,Finish,Detergente en tabletas finish para lavavajillas 13 un,,$4.544,$6.990,35%,https://unimarc.vtexassets.com/arquivos/ids/217908/000000000000630637-UN-01.jpg?v=637623983759770000,https://www.unimarc.cl/product/det-tabletas-finish-13-un
Unimarc,40,07-10-2023,Finish,Lavavajilla en polvo finish advanced doypack 1 kg,,$5.038,$7.750,35%,https://unimarc.vtexassets.com/arquivos/ids/223810/000000000000654817-UN-01.jpg?v=637794256197300000,https://www.unimarc.cl/product/lavavajilla-pvo-advanced-dp-finish-1-kg
Unimarc,40,07-10-2023,Finish,Abrillantador finish para lavavajillas 400 ml,,$3.374,$5.190,35%,https://unimarc.vtexassets.com/arquivos/ids/217999/000000000000631851-UN-01.jpg?v=637624731816400000,https://www.unimarc.cl/product/abrillantador-finish-400-ml
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activos aloe vera recarga 1.2 l,,$3.440,$4.230,19%,https://unimarc.vtexassets.com/arquivos/ids/229066/000000000000661855-UN-01.jpg?v=637985965941070000,https://www.unimarc.cl/product/rec-lavaloza-bio-ac-aloe-vera-quix-1-2lt
Unimarc,40,07-10-2023,Quix,Lavaloza quix antibacterial 1.2 l,,$3.440,$4.230,19%,https://unimarc.vtexassets.com/arquivos/ids/192378/000000000000640072-UN-01.jpg?v=637191002164000000,https://www.unimarc.cl/product/lavalozas-antibacterial-quix-1-2-lt
Unimarc,40,07-10-2023,Dawn,Lavaloza dawn limón 500 ml,,$5.450,$6.450,16%,https://unimarc.vtexassets.com/arquivos/ids/228752/000000000000604184-UN-01.jpg?v=637974119232600000,https://www.unimarc.cl/product/lavalozas-limon-dawn-500-ml
Unimarc,40,07-10-2023,Virginia,Lavalozas virginia limón citrus 1.5 l,,$3.360,,,https://unimarc.vtexassets.com/arquivos/ids/218523/000000000000640143-UN-01.jpg?v=637636857853170000,https://www.unimarc.cl/product/lavalozas-limon-cit-virginia-1-5-lt
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activos limón 500 ml,,$1.990,,,https://unimarc.vtexassets.com/arquivos/ids/229070/000000000000661944-UN-01.jpg?v=637985972318070000,https://www.unimarc.cl/product/lavaloza-conc-bio-act-limon-quix-500-ml
Unimarc,40,07-10-2023,Quix,Lavaloza concentrado quix bio activo limón 750 ml,,$2.670,,,https://unimarc.vtexassets.com/arquivos/ids/229064/000000000000661854-UN-01.jpg?v=637985959954230000,https://www.unimarc.cl/product/lavaloza-conc-bio-activ-limon-quix-750ml
