Supermercado,Semana,Fecha,marca,descripcion,promo,precio,imagen,promo_exclusiva,link
Jumbo,40,06-10-2023,Quix,Lavalozas Quix Bio-Activos Concentrado Recarga 1.5 L,$3.079,$4.399,https://jumbo.vtexassets.com/arquivos/ids/586364-280-280?width=280&height=280&aspect=true,30% dcto.,https://www.jumbo.cl/lavalozas-quix-bio-act-conc-rec-1-5ml-1932624/p
Jumbo,40,06-10-2023,Magistral,Lavaloza Magistral Concentrado Ultra Limón 500 ml,$2.914,$4.349,https://jumbo.vtexassets.com/arquivos/ids/479146-280-280?width=280&height=280&aspect=true,33% dcto.,https://www.jumbo.cl/lavalozas-concentrado-magistral-limon-500-ml/p
Jumbo,40,06-10-2023,Quix,Lavaloza Quix Bio-Activos Aloe Vera Recarga 1.2 L,$3.099,$4.259,https://jumbo.vtexassets.com/arquivos/ids/511392-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lav-quix-bio-act-aloe-vera-rec-1-2ml-1932621/p
Jumbo,40,06-10-2023,Quix,Lavalozas Quix Bio-Activos Concentrado Limón 500 ml,$2.049,,https://jumbo.vtexassets.com/arquivos/ids/512894-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-quix-bio-act-conc-limon-500ml-1932623/p
Jumbo,40,06-10-2023,Quix,Lavalozas Quix Bio-Activos Concentrado Limón 5 L,$8.579,$11.439,https://jumbo.vtexassets.com/arquivos/ids/512898-280-280?width=280&height=280&aspect=true,25% dcto.,https://www.jumbo.cl/lavalozas-quix-bio-act-conc-limon-5lt-1932619/p
Jumbo,40,06-10-2023,Dawn,Lavaloza Dawn Concentrado Limón 750 ml,$6.649,,https://jumbo.vtexassets.com/arquivos/ids/489813-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-dawn-limon-concentrado-750-ml/p
Jumbo,40,06-10-2023,Quix,Lavaloza Quix Bio-Activos Pureza Esencial Recarga 1.2 L,$3.099,$4.259,https://jumbo.vtexassets.com/arquivos/ids/511398-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lav-quix-bio-act-conc-pureza-rec-1-2ml-1932626/p
Jumbo,40,06-10-2023,Fuzol,Lavalozas Fuzol Limón Doypack 1 L,$1.729,,https://jumbo.vtexassets.com/arquivos/ids/451633-280-280?width=280&height=280&aspect=true,,https://www.jumbo.cl/lavalozas-fuzol-doypack-1-l-limon-concentrado-2/p
Jumbo,40,06-10-2023,Magistral,Lavalozas Magistral Concentrado Limón 750 ml,$4.113,$6.139,https://jumbo.vtexassets.com/arquivos/ids/479187-280-280?width=280&height=280&aspect=true,33% dcto.,https://www.jumbo.cl/lavalozas-magistral-750-cc-lim-n/p
Jumbo,40,06-10-2023,Magistral,Lavaloza Magistral Concentrado Ultra Limón 300 ml,$1.956,$2.919,https://jumbo.vtexassets.com/arquivos/ids/479127-280-280?width=280&height=280&aspect=true,33% dcto.,https://www.jumbo.cl/lavalozas-concentrado-magistral-limon-300-ml/p
